"RECIPE_ID","RECIPE_NAME","RECIPE_IMAGE_URL","CATEGORY_ID","GARNISH_ID","GUIDE","USERNAME","MODIFYING_USER","ITS","UTS"
1,"Lasagne","https://img.chefkoch-cdn.de/rezepte/1112181217260303/bilder/1586838/crop-960x540/lasagne-bolognese.jpg",2,,"Das Gemüse in feine Würfel schneiden und in etwas Sonnenblumenöl scharf anbraten, bis es kleine braune Stellen hat.
Mit 2 EL braunem Zucker kurz karamellisieren.
Anschließend das Gemüse in einer Schüssel zwischen lagern und Hackfleisch anbraten.
Mit einem großen Schluck Wein ablöschen und verkochen lassen, bis nur noch der Boden mit Wein bedeckt ist. Diesen Vorgang beliebig oft wiederholen. Hier ruhig etwas Zeit lassen damit die Soße am Ende nicht zu flüssig wird.
Die Tomaten und passierten Tomaten zur Sauce geben, das Olivenöl, das karamellisierte Gemüse und den Knoblauch hinzufügen. Mit Oregano, Lorbeerblättern, Tomatenmark, Kräutern und etwas Chili Pulver würzen und die Sauce auf mittlerer Hitze ca. eine Stunde köcheln lassen, bis sie dick und sämig wird.
In der Zwischenzeit die Butter für die Bechamelsauce in einem Topf schmelzen, das Mehl dazu geben und mit einem Schneebesen schaumig rühren. Auf mittlerer Hitze solange anrösten, bis das Mehl beginnt braun zu werden. Die KALTE Milch unter ständigem Rühren dazu gießen. Man kann zur Hälfte Gemüsebrühe benutzen um der Soße etwas mehr Geschmack zu geben
Weiterrühren und die Bechamelsauce einmal aufkochen – dann sollte sie eine cremige Konsistenz aufweisen.
Mit 50 Gramm Parmesan, einer Prise Muskatnuss sowie Salz, Pfeffer und Zucker abschmecken.
Die Tomatensauce nach einer Stunde mit Salz, Pfeffer und braunem Zucker abschmecken. Falls sie noch sehr flüssig ist, noch einmal 15 Minuten weiter köcheln lassen.
Eine Schicht der Tomatensauce auf dem Boden einer Auflaufform verteilen. Nun eine Schicht Bechamelsauce darüber verteilen und mit Nudelplatten bedecken. Man kann auch schon Käse zwischen die Schichten packen wenn man möchte.
Diesen Vorgang wiederholen bis die Auflaufform bis zum Rand gefüllt ist, dabei mit einer ordentlichen Schicht Bechamelsauce enden. Die Oberfläche mit dem übrigen geriebenen Käse bestreuen und im Ofen bei 220 Grad Umluft etwa 35 Minuten backen.
Mit einer Gabel überprüfen, ob sich die Nudelplatten leicht durchstechen lassen – dann ist die Lasagne servierfertig.","Franziska","FRANZISKA",2021-03-07 00:00:00,2025-12-23 00:00:00
56,"Adobo-Gewürzmischung","https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1026585.jpg&w=596&h=596&c=sc&poi=face&q=85",21,,"2 tablespoons salt
1 tablespoon paprika
2 teaspoons ground black pepper
1 ½ teaspoons onion powder
1 ½ teaspoons dried oregano
1 ½ teaspoons ground cumin
1 teaspoon garlic powder
1 teaspoon chili powder","Christian","CHRISTIAN",2021-01-13 00:00:00,2021-01-13 00:00:00
61,"Djuvec Reis","https://www.grillkameraden.de/wp-content/uploads/2019/07/Djuvec-Reis-750x450.jpg",3,,"Knoblauch schälen. Zwiebeln schälen. Paprikaschoten waschen und Strunk, Körner sowie Scheidewände entfernen. Tomaten waschen und entkernen. Zwiebeln, Paprikaschoten und Tomaten fein würfeln.
Butter in einer großen Pfanne zerlassen. Das gewürfelte Gemüse etwa 5 Minuten scharf anbraten.
Hitze zurücknehmen. Paprikapulver und Tomatenmark über das Gemüse geben, alles umrühren und 1 bis 2 Minuten weiterbraten.
Knoblauchzehen in die Pfanne pressen.
Reis in die Pfanne geben und mitbraten, bis nur noch wenig Flüssigkeit übrig ist.
Die Reis-Gemüsemischung mit Wasser ablöschen.
Ajvar, Vegeta, Olivenöl, Salz und Pfeffer unterrühren.
Bei niedriger Hitze etwa 10 Minuten zugedeckt köcheln lassen. Gelegentlich umrühren.
Während dieser Zeit die Petersilie waschen, abschütteln und fein schneiden.
Angetaute Erbsen und Petersilie unterrühren.
Etwa 10 Minuten weitergaren, bis der Reis weich ist.
Zum Schluss mit Salz und Pfeffer abschmecken.

2 Knoblauchzehen
2 mittelgroße Gemüsezwiebeln
2 rote Paprikaschoten
2 mittelgroße Tomaten
3 EL Butter
1,5 EL Paprikapulver (scharf oder edelsüß)
4 EL Tomatenmark
300 g weißer Langkornreis
600 ml Wasser
150 g Ajvar
1 EL Vegeta oder gekörnte Gemüsebrühe
3 EL Olivenöl
Salz
Schwarzer Pfeffer aus der Mühle
Einige Stängel Petersilie
150 g Erbsen (TK)","CHRISTIAN","CHRISTIAN",2021-01-18 00:00:00,2021-01-18 00:00:00
66,"Spätzle mit Pfeffersoße","https://i0.wp.com/flavouredwithlove.com/wp-content/uploads/2014/09/dsc099771.jpg?resize=640%2C427",3,,"1 EL	Pfefferkörner, schwarze oder bunte
2 EL	Butter
1 m.-große	Zwiebel(n)
125 ml	Portwein
125 ml	Rinderfond
200 ml	Sahne
Salz zum Abschmecken

Zubereitung

Arbeitszeit ca. 5 Minuten

Koch-/Backzeit ca. 55 Minuten

Gesamtzeit ca. 1 Stunde
Pfefferkörner mit einem Mörser zerstoßen und in der aufschäumenden Butter dünsten. Der Duft wird den Pfefferliebhaber schon schwindelig machen. Zwiebeln fein würfeln, dazugeben und mitdünsten. Wenn die Zwiebeln glasig sind, den Portwein dazugeben und bis zu ca. 1/3 einköcheln lassen. Dann den Fond dazugeben und wieder einköcheln lassen.

Wichtig: Immer mal wieder umrühren, wenn es einmal anbrennt ist es nicht mehr zu genießen!

Zum Schluss die Sahne zugießen und bis zur gewünschten Konsistenz köcheln lassen.

Hinweis: Man kann die Sauce durch ein Sieb geben und pürieren, doch jedem Pfefferfan ist davon abzuraten.","FRANZISKA","FRANZISKA",2021-03-05 00:00:00,2021-03-21 00:00:00
75,"Schoki Soufflé","https://www.einfachbacken.de/sites/einfachbacken.de/files/styles/700_530/public/2018-11/schokokuechlein_mit_fluessigem_kern_62156.jpg?h=4521fff0&itok=F4BD6Fk9",1,,"180	g	Schokolade (dunkel)
1	EL	Butter
4	Stk	Eier
180	ml	Milch
30	g	Speisestärke
2	EL	Staubzucker
Zutaten zum Einfetten der Form
2	EL	Zucker
1	EL	Butter (geschmolzen)
Die Milch in einen Topf geben, Zucker und Schokolade zufügen und aufkochen lassen. Ständig dabei rühren. Die Speisestärke mit dem Eigelb verrühren und nach und nach in dei Schoko-Milch einrühren. Nochmals aufkochen lassen und wieder nebenbei rühren. Nun noch die Butter unterrühren.
Danach den Topf vom Herd nehmen und auskühlen lassen. Währenddessen das Eiklar zu Schnee schlagen und in die abgekühlte Creme unterziehen. Den Ofen vorheizen!
Eine Auflaufform einfetten und mit Zucker ausstreuen. Nun die Masse in die Form geben.
Im vorgeheizten Ofen bei 170°Grad Ober- und Unterhitze ca. 25 Min. backen und anschließend sofort servieren.","VIOLA","VIOLA",2022-06-24 00:00:00,2022-06-24 00:00:00
5,"Flammkuchen Elsässer Art","https://www.einfachbacken.de/sites/einfachbacken.de/files/styles/full_width_tablet_4_3/public/2020-04/flammkuchen.jpg?h=4521fff0&itok=MzvaQAse",2,,"","Franziska","",,
6,"Schokobrownies","https://www.einfachbacken.de/sites/einfachbacken.de/files/styles/full_width_tablet_4_3/public/2018-07/brownies-1_zuschnitt_bearb.png?h=7cece4cc&itok=1odotsoY",1,,"","Franziska","",,
9,"Pfannkuchen","https://image.brigitte.de/11759972/t/RO/v3/w1440/r1/-/pfannkuchen-ohne-ei.jpg",1,,"","Franziska","",,
12,"Tomatenreis mit mediterranem Gemüse","https://image.brigitte.de/11797758/t/Bo/v3/w1440/r1/-/tomatenreis.jpg",3,,"","Franziska","FRANZISKA",2020-12-28 00:00:00,2020-12-28 00:00:00
15,"Knusper-Hähnchenschnitzel","https://heimfrost.de/wp-content/uploads/images/artikel/04202-360x360.jpg",2,,"","Franziska","",,
